GRADE,VD/NVD,tap_wt_from_EAF,al ingot_kg__during_EAF_tapping,TEMP OPENING_LRF,LIFTING TEMP_LRF,LIME_LRF,SPAR,Mean_Oxygen,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,C_Target,Mn_Target,Si_Target,Al_Target,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Total_Al_LRF_kg
ASTMA572GR50,NVD,101.0,132.0,1505.0,1567.0,1350.0,50.0,436.781728873635,0.153,0.96,0.062,0.159,0.059,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,231.0
ASTMA572GR50,NVD,100.0,132.0,1505.0,1569.0,1600.0,50.0,436.781728873635,0.106,1.14,0.0529,0.154,0.04,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,237.6
FE550DLMH,NVD,98.0,110.0,1505.0,1610.0,1400.0,50.0,436.781728873635,0.068,0.61,0.07,0.126,0.072,50.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,110.0
ASTMA572GR50,NVD,104.0,110.0,1505.0,1575.0,1500.0,50.0,436.781728873635,0.072,0.52,0.0599,0.11,0.06,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,209.0
ASTMA572GR50,NVD,104.0,198.0,1505.0,1575.0,1150.0,50.0,436.781728873635,0.129,0.66,0.0719,0.1409,0.051,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,198.0
FE550DLMH,NVD,96.0,110.0,1505.0,1585.0,1350.0,50.0,436.781728873635,0.085,0.71,0.063,0.13,0.007,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,143.0
FE550DLMH,NVD,98.0,110.0,1505.0,1580.0,1350.0,50.0,436.781728873635,0.057,0.57,0.07,0.1439,0.065,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,159.5
FE550DLMH,NVD,87.0,132.0,1530.0,1610.0,1500.0,50.0,436.781728873635,0.091,0.78,0.064,0.1179,0.037,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,205.26
FE550DLMH,NVD,103.0,110.0,1505.0,1585.0,1500.0,50.0,436.781728873635,0.068,0.52,0.069,0.1,0.125,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,110.0
FE550DLMH,NVD,99.0,110.0,1505.0,1580.0,1650.0,50.0,436.781728873635,0.066,0.61,0.068,0.128,0.041,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,129.8
FE550DLMH,NVD,100.0,110.0,1505.0,1580.0,1250.0,50.0,436.781728873635,0.104,0.58,0.08,0.121,0.084,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,134.75
FE550DLMH,NVD,101.0,132.0,1505.0,1585.0,1550.0,50.0,436.781728873635,0.083,0.63,0.0589,0.104,0.016,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,205.26
F-65,VD,102.0,132.0,1505.0,1575.0,1600.0,50.0,436.781728873635,0.073,0.65,0.0609,0.127,0.094,64.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,201.63
FE550DLMH,NVD,100.0,110.0,1505.0,1591.0,1250.0,50.0,436.781728873635,0.087,0.64,0.068,0.133,0.075,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,110.0
F-65,VD,97.0,132.0,1505.0,1575.0,1672.0,50.0,436.781728873635,0.084,0.68,0.0599,0.139,0.099,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,181.5
FE550DLMH,NVD,101.0,110.0,1505.0,1595.0,1550.0,50.0,436.781728873635,0.092,0.64,0.079,0.14,0.146,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,110.0
F-65,VD,101.0,110.0,1505.0,1575.0,1700.0,50.0,436.781728873635,0.069,0.63,0.065,0.13,0.041,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,275.0
F-65,VD,94.0,154.0,1505.0,1575.0,1300.0,50.0,436.781728873635,0.072,0.76,0.0589,0.169,0.073,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,170.5
F-65,VD,96.0,132.0,1505.0,1575.0,1300.0,50.0,436.781728873635,0.097,0.76,0.056,0.165,0.086,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,214.5
FE550DLMH,NVD,101.0,132.0,1505.0,1575.0,1200.0,50.0,436.781728873635,0.086,0.65,0.07,0.129,0.076,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,148.5
F-65,VD,97.0,132.0,1505.0,1578.0,1450.0,50.0,436.781728873635,0.081,0.8,0.058,0.157,0.043,48.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,227.7
FE550DLMH,NVD,104.0,132.0,1505.0,1575.0,1200.0,50.0,436.781728873635,0.093,0.71,0.0599,0.151,0.045,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,158.4
F-65,VD,97.0,132.0,1505.0,1578.0,1400.0,50.0,436.781728873635,0.098,0.73,0.0529,0.2079,0.079,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,247.5
FE550DLMH,NVD,104.0,110.0,1505.0,1590.0,1050.0,50.0,436.781728873635,0.091,0.61,0.067,0.1809,0.083,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,132.44
F-65,VD,98.0,132.0,1505.0,1575.0,1600.0,50.0,436.781728873635,0.063,0.69,0.064,0.1499,0.081,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,247.5
F-65,VD,98.0,132.0,1505.0,1570.0,1800.0,50.0,436.781728873635,0.092,0.69,0.055,0.152,0.087,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,214.5
F-65,VD,99.0,132.0,1505.0,1570.0,1700.0,50.0,436.781728873635,0.075,0.68,0.063,0.152,0.078,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,287.1
FE550DLMH,NVD,100.0,110.0,1505.0,1610.0,1500.0,50.0,436.781728873635,0.081,0.71,0.068,0.138,0.034,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,143.0
F-65,VD,100.0,132.0,1505.0,1572.0,1950.0,50.0,436.781728873635,0.074,0.75,0.081,0.1469,0.044,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,297.0
F-65,VD,100.0,132.0,1505.0,1585.0,1550.0,50.0,436.781728873635,0.075,0.71,0.0749,0.169,0.025,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,290.4
FE550DLMH,NVD,100.0,132.0,1505.0,1612.0,1350.0,25.0,436.781728873635,0.096,0.66,0.07,0.162,0.045,44.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,165.0
FE550DLMH,NVD,102.0,132.0,1505.0,1595.0,1000.0,25.0,436.781728873635,0.079,0.64,0.067,0.162,0.132,50.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,132.0
SA105,VD,101.0,132.0,1505.0,1600.0,1800.0,25.0,481.6785714285714,0.087,0.66,0.067,0.1409,0.037,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,297.0
FE550DLMH,NVD,102.0,132.0,1505.0,1594.0,1100.0,25.0,436.781728873635,0.067,0.61,0.0539,0.121,0.022,48.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,151.8
FE550DLMH,NVD,98.0,132.0,1505.0,1583.0,1350.0,25.0,436.781728873635,0.085,0.64,0.07,0.1439,0.049,45.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,158.4
SA105,VD,96.0,110.0,1505.0,1570.0,1350.0,25.0,481.6785714285714,0.101,0.76,0.0529,0.157,0.049,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,225.5
FE550DLMH,NVD,109.0,132.0,1505.0,1590.0,1400.0,25.0,436.781728873635,0.077,0.61,0.065,0.126,0.031,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,165.0
SA105,VD,94.0,110.0,1505.0,1570.0,1700.0,25.0,481.6785714285714,0.18,0.8,0.064,0.218,0.053,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,182.6
FE550DLMH,NVD,100.0,110.0,1505.0,1580.0,1350.0,25.0,436.781728873635,0.066,0.66,0.056,0.14,0.033,50.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,143.0
SA105,VD,97.0,132.0,1505.0,1565.0,1500.0,25.0,481.6785714285714,0.075,0.72,0.064,0.1479,0.061,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,287.1
SA105,VD,98.0,110.0,1505.0,1578.0,1500.0,25.0,481.6785714285714,0.081,0.82,0.05,0.1439,0.028,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,263.12
FE550DLMH,NVD,99.0,132.0,1505.0,1612.0,1350.0,25.0,436.781728873635,0.089,0.62,0.081,0.1419,0.036,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,165.0
SA105,VD,95.0,132.0,1505.0,1568.0,1500.0,25.0,481.6785714285714,0.084,0.67,0.0759,0.1489,0.037,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,306.9
SA105,VD,101.0,132.0,1505.0,1570.0,1450.0,25.0,481.6785714285714,0.099,0.63,0.064,0.139,0.032,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,306.9
FE550DLMH,NVD,104.0,132.0,1505.0,1580.0,1100.0,25.0,436.781728873635,0.162,0.49,0.078,0.122,0.057,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,132.0
SA105,VD,98.0,132.0,1505.0,1570.0,1750.0,25.0,481.6785714285714,0.118,0.63,0.085,0.1421,0.051,52.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,244.86
FE550DLMH,NVD,99.0,110.0,1505.0,1580.0,1150.0,25.0,436.781728873635,0.108,0.78,0.0719,0.201,0.023,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,159.5
FE550DLMH,NVD,96.0,110.0,1505.0,1600.0,1350.0,25.0,436.781728873635,0.079,0.7,0.083,0.1459,0.022,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,166.1
SA105,VD,102.0,110.0,1505.0,1568.0,1900.0,50.0,481.6785714285714,0.075,0.66,0.084,0.132,0.022,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,263.45
SA105,VD,98.0,178.0,1505.0,1570.0,1650.0,50.0,481.6785714285714,0.076,0.69,0.082,0.1419,0.046,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,321.55
SA105,VD,102.0,132.0,1505.0,1571.0,1750.0,50.0,481.6785714285714,0.077,0.65,0.0739,0.1479,0.093,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,241.89
FE550DLMH,NVD,99.0,110.0,1505.0,1612.0,1350.0,50.0,436.781728873635,0.079,0.66,0.082,0.14,0.048,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,139.04
SA105,VD,96.0,132.0,1505.0,1568.0,1650.0,50.0,481.6785714285714,0.058,0.53,0.0859,0.11,0.023,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,363.0
FE550DLMH,NVD,99.0,110.0,1505.0,1597.0,1350.0,50.0,436.781728873635,0.076,0.63,0.0879,0.136,0.057,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,146.3
SA105,VD,101.0,110.0,1505.0,1569.0,1600.0,50.0,481.6785714285714,0.072,0.67,0.065,0.131,0.01,61.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,291.5
SA105,VD,102.0,110.0,1505.0,1570.0,1600.0,50.0,481.6785714285714,0.059,0.69,0.065,0.1449,0.059,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,209.0
SA105,VD,97.0,110.0,1505.0,1570.0,1300.0,50.0,481.6785714285714,0.083,0.7,0.0719,0.1459,0.012,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,225.5
SA105,VD,103.0,110.0,1505.0,1570.0,1550.0,50.0,481.6785714285714,0.069,0.65,0.0739,0.1439,0.077,48.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,176.0
FE550DLMH,NVD,101.0,110.0,1505.0,1615.0,1600.0,50.0,436.781728873635,0.087,0.73,0.0749,0.1439,0.067,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,160.0
FE550DLMH,NVD,107.0,110.0,1505.0,1593.0,1350.0,50.0,436.781728873635,0.121,0.7,0.0529,0.1429,0.023,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,186.4
SA350GRLF2,VD,99.0,132.0,1505.0,1570.0,1400.0,50.0,451.316,0.105,0.74,0.065,0.171,0.096,61.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,248.0
SA350GRLF2,VD,101.0,132.0,1505.0,1570.0,1700.0,50.0,451.316,0.104,0.69,0.064,0.16,0.101,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,248.0
FE550DLMH,NVD,99.0,132.0,1505.0,1590.0,1400.0,50.0,436.781728873635,0.09,0.68,0.067,0.1489,0.045,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,221.6
SA350GRLF2,VD,103.0,132.0,1505.0,1570.0,1600.0,50.0,451.316,0.105,0.7,0.07,0.157,0.078,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,264.5
SA350GRLF2,VD,102.0,132.0,1505.0,1570.0,1600.0,25.0,451.316,0.065,0.7,0.069,0.1479,0.063,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,297.5
FE550DLMH,NVD,106.0,132.0,1505.0,1610.0,1600.0,25.0,436.781728873635,0.052,0.63,0.0729,0.109,0.009,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,281.0
FE550DLMH,NVD,98.0,132.0,1505.0,1585.0,1300.0,25.0,436.781728873635,0.099,0.77,0.078,0.163,0.08,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,182.0
FE550DLMH,NVD,100.0,132.0,1505.0,1572.0,1050.0,25.0,436.781728873635,0.052,0.63,0.079,0.0919,0.006,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,248.0
FE550DLMH,NVD,107.0,110.0,1505.0,1577.0,1250.0,25.0,436.781728873635,0.057,0.63,0.0759,0.161,0.012,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,136.4
FE550DLMH,NVD,115.0,110.0,1505.0,1575.0,1300.0,25.0,436.781728873635,0.079,0.6,0.067,0.115,0.007,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,193.0
FE550DLMH,NVD,108.0,110.0,1505.0,1576.0,1300.0,25.0,436.781728873635,0.077,0.58,0.082,0.166,0.032,58.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,209.5
FE550DLMH,NVD,101.0,110.0,1505.0,1575.0,1050.0,25.0,436.781728873635,0.05,0.61,0.0759,0.11,0.005,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,160.0
FE550DLMH,NVD,101.0,132.0,1505.0,1576.0,1300.0,25.0,436.781728873635,0.069,0.64,0.0879,0.129,0.051,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,182.0
FE550DLMH,NVD,102.0,132.0,1505.0,1576.0,1350.0,25.0,436.781728873635,0.088,0.67,0.0759,0.154,0.087,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,182.0
FE550DLMH,NVD,102.0,132.0,1505.0,1575.0,1300.0,25.0,436.781728873635,0.09,0.7,0.0719,0.1459,0.028,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,215.0
FE550DLMH,NVD,103.0,132.0,1505.0,1575.0,1500.0,25.0,436.781728873635,0.065,0.6,0.082,0.191,0.034,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,215.0
ASTMA572GR60,NVD,104.0,132.0,1505.0,1605.0,1450.0,25.0,436.781728873635,0.058,0.61,0.0709,0.112,0.032,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,307.4
ASTMA572GR60,NVD,102.0,132.0,1505.0,1580.0,1500.0,25.0,436.781728873635,0.06,0.71,0.0599,0.1439,0.022,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,356.9
ASTMA572GR50,NVD,101.0,132.0,1505.0,1570.0,1400.0,25.0,436.781728873635,0.081,0.71,0.065,0.154,0.045,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,281.0
ASTMA572GR50,NVD,102.0,110.0,1505.0,1575.0,1500.0,25.0,436.781728873635,0.125,1.01,0.065,0.1749,0.052,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,259.0
ASTMA572GR50,NVD,102.0,132.0,1505.0,1577.0,1500.0,25.0,436.781728873635,0.13,0.99,0.07,0.162,0.035,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,330.5
ASTMA572GR50,NVD,101.0,132.0,1505.0,1566.0,1500.0,25.0,436.781728873635,0.107,0.93,0.0719,0.1499,0.063,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,314.0
ASTM572GR50,NVD,102.0,132.0,1505.0,1572.0,1300.0,25.0,436.781728873635,0.164,0.96,0.08,0.17,0.073,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,320.6
ASTM572GR50,NVD,102.0,132.0,1505.0,1572.0,1500.0,25.0,436.781728873635,0.151,0.9,0.078,0.155,0.085,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,300.8
ASTM572GR50,NVD,102.0,110.0,1505.0,1565.0,1750.0,25.0,436.781728873635,0.122,1.0,0.0749,0.17,0.079,64.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,259.0
ASTM572GR50,NVD,100.0,110.0,1505.0,1572.0,1600.0,25.0,436.781728873635,0.112,0.98,0.078,0.182,0.068,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,285.4
C18HMN,NVD,100.0,178.0,1505.0,1574.0,1450.0,50.0,436.781728873635,0.13,0.82,0.078,0.1449,0.104,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,283.9
C18HMN,NVD,100.0,110.0,1505.0,1580.0,1500.0,25.0,436.781728873635,0.152,1.08,0.0759,0.195,0.098,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,158.51
C18HMN,NVD,100.0,110.0,1505.0,1585.0,1600.0,25.0,436.781728873635,0.131,0.93,0.0859,0.17,0.102,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,169.4
EN8M,NVD,100.0,66.0,1505.0,1578.0,600.0,25.0,436.781728873635,0.079,0.73,0.2909,0.132,0.374,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,66.0
C18HMN,NVD,100.0,132.0,1505.0,1580.0,1600.0,25.0,436.781728873635,0.104,0.97,0.0759,0.165,0.054,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,224.4
C18HMN,NVD,100.0,132.0,1505.0,1575.0,1400.0,25.0,436.781728873635,0.087,0.79,0.082,0.184,0.049,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,231.0
EN1A(PB),NVD,100.0,66.0,1505.0,1615.0,700.0,25.0,436.781728873635,0.062,0.7,0.381,0.081,0.867,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,66.0
EN1A(PB),NVD,100.0,66.0,1505.0,1605.0,500.0,25.0,436.781728873635,0.05,0.61,0.3599,0.068,0.618,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,66.0
C18HMN,NVD,100.0,132.0,1505.0,1610.0,1800.0,25.0,436.781728873635,0.072,0.73,0.08,0.171,0.015,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,297.0
C18HMN,NVD,100.0,132.0,1505.0,1575.0,1500.0,25.0,436.781728873635,0.097,0.78,0.0749,0.1789,0.082,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,267.3
18HMN,NVD,100.0,132.0,1505.0,1575.0,1320.0,25.0,436.781728873635,0.085,0.75,0.0739,0.189,0.048,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,273.9
C18HMN,NVD,100.0,132.0,1505.0,1574.0,1650.0,25.0,436.781728873635,0.083,0.75,0.0749,0.1749,0.05,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,247.5
FE550DLMH,NVD,100.0,110.0,1505.0,1612.0,1700.0,25.0,436.781728873635,0.062,0.64,0.0769,0.123,0.034,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,110.0
C18HMN,NVD,100.0,132.0,1505.0,1577.0,1400.0,25.0,436.781728873635,0.126,0.65,0.0769,0.152,0.054,48.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,247.5
FE550DLMH,NVD,100.0,110.0,1505.0,1584.0,1400.0,25.0,436.781728873635,0.099,0.64,0.081,0.152,0.062,50.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,119.9
C18HMN,NVD,100.0,110.0,1505.0,1584.0,1300.0,25.0,436.781728873635,0.09,0.65,0.0769,0.1479,0.02,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,268.4
FE550DLMH,NVD,100.0,110.0,1505.0,1581.0,1550.0,25.0,436.781728873635,0.073,0.6,0.0859,0.0869,0.007,53.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,176.0
FE550DLMH,NVD,100.0,110.0,1505.0,1580.0,1500.0,25.0,436.781728873635,0.086,0.67,0.0899,0.16,0.073,64.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,110.0
FE550DLMH,NVD,100.0,110.0,1505.0,1588.0,1350.0,25.0,436.781728873635,0.087,0.69,0.084,0.158,0.074,45.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,110.0
FE550DLMH,NVD,100.0,110.0,1505.0,1580.0,1400.0,25.0,436.781728873635,0.081,0.7,0.0869,0.249,0.033,64.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,113.3
C18HMN,NVD,100.0,110.0,1505.0,1575.0,1300.0,25.0,436.781728873635,0.062,0.66,0.0899,0.171,0.014,44.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,308.0
20MNCR5,VD,100.0,132.0,1505.0,1610.0,1400.0,25.0,436.781728873635,0.084,0.71,0.079,0.161,0.043,58.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,273.9
C18HMN,NVD,103.0,110.0,1505.0,1580.0,1700.0,25.0,436.781728873635,0.056,0.61,0.085,0.121,0.007,47.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,291.5
20MNCR5,VD,102.0,132.0,1505.0,1585.0,1350.0,25.0,436.781728873635,0.055,0.65,0.08,0.108,0.008,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,356.4
C18HMN,NVD,100.0,110.0,1505.0,1575.0,1600.0,25.0,436.781728873635,0.071,0.02,0.083,0.02,0.029,32.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,258.5
C18HMN,NVD,99.0,110.0,1505.0,1570.0,1500.0,25.0,436.781728873635,0.069,0.76,0.078,0.166,0.032,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,278.3
C18HMN,NVD,94.0,110.0,1505.0,1570.0,1300.0,25.0,436.781728873635,0.07,0.74,0.08,0.168,0.066,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,258.5
C18HMN,NVD,96.0,132.0,1505.0,1570.0,1600.0,25.0,436.781728873635,0.076,0.76,0.082,0.166,0.024,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,288.75
C18HMN,NVD,101.0,132.0,1505.0,1570.0,1500.0,25.0,436.781728873635,0.09,0.83,0.078,0.198,0.025,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,264.0
C18HMN,NVD,99.0,132.0,1505.0,1578.0,1550.0,25.0,436.781728873635,0.081,0.86,0.1,0.184,0.058,63.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,333.3
C18HMN,NVD,91.0,220.0,1505.0,1597.0,1900.0,25.0,436.781728873635,0.106,0.81,0.078,0.106,0.075,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,368.5
C18HMN,NVD,97.0,110.0,1505.0,1580.0,1800.0,25.0,436.781728873635,0.088,0.85,0.078,0.184,0.069,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,176.0
